Manuscript,coteString,
http://rdfh.ch/0112/lPNfAB_QTtSk6JsxZSYRRg,D-1-ROU-2,
http://rdfh.ch/0112/vChG3q8sSp-G0GS4IAVD1A,D-1-ROU-3,
http://rdfh.ch/0112/LWt6jrtzRsyZHU2Qu3MQPA,D-1-ROU-4,
http://rdfh.ch/0112/dqzQm8rMRhK5tYjCGJ-MHQ,D-1-ROU-4,
http://rdfh.ch/0112/tryhAOpAS8afA7LJ6z6S8g,D-1-ROU-5,
http://rdfh.ch/0112/wpsNJssdSjyx3-5cJ-bT8A,D-1-ROU-6,
http://rdfh.ch/0112/Dc6KWBucRxeKsVh6JB1wJA,D-1-ROU-8,
http://rdfh.ch/0112/nIPEBH5ZRLmvHwKw-OdLwg,D-1-ROU-9,
http://rdfh.ch/0112/iMNh2qBzSXSdF_u-GG5j_A,D-1-ROU-10,
http://rdfh.ch/0112/QmE6PRXlQVGcjKcY7z2QAw,D-5-2-09/07,
http://rdfh.ch/0112/5wQhIh42TAiToQdD7Ku6UA,D-5-2-09/07,
http://rdfh.ch/0112/_52_yNjtRaa3VvlYr4Gg8Q,D-5-2-09/08,
http://rdfh.ch/0112/GsEcjBP5SWy-ad-UNzWQ-w,D-5-2-09/08,
http://rdfh.ch/0112/kFksx_XZQb6UF1e0hAjlOg,D-5-2-05/04,
http://rdfh.ch/0112/YFtJ5y_9T86SnJszkqdGFQ,D-5-2-05/04,
http://rdfh.ch/0112/pbky943WTbaRTJkEuQ8OPw,D-5-2-05/05,
http://rdfh.ch/0112/G4Sfaae-Rr2iMA-Nwo9HYw,D-5-2-05/05,
http://rdfh.ch/0112/DU6XIhJ_SSiLx4NaGBXpSg,MS 1 H1/2a,
http://rdfh.ch/0112/1L-Y6bRHQzGmoZesFv2t8g,MS 1 H1/2b,
http://rdfh.ch/0112/Kpj1xjGzRKqHFWPLVljnqw,MS 1 H1/3a,
http://rdfh.ch/0112/ueJwmgm1SFmWZqISbRVZeg,D-5-2-10/07,
http://rdfh.ch/0112/ixK69aK0Sjm48HTbxRKdYQ,MS 1 H1/3b,
http://rdfh.ch/0112/yI_11jkuQJqFTv_Z0UlW7A,D-5-2-10/07,
http://rdfh.ch/0112/GF8ULm7gShyV_-ZMQspcHg,MS 1 H1/3c,
http://rdfh.ch/0112/LFLVUNThQqawliIPSPHK4g,D-5-2-16/04,
http://rdfh.ch/0112/UiedBeOHRPW-fMYIgcGvBg,MS 1 H1/4a,
http://rdfh.ch/0112/IWZHxVnOS7Ww4e_arZEV9Q,D-5-2-25/03,
http://rdfh.ch/0112/Xcu_79L-RfqT-L7xuwXkKQ,MS 1 H1/4b,
http://rdfh.ch/0112/_7X8AhOFS02XbfwmFYk7yg,MS 1 H1/4c,
http://rdfh.ch/0112/2t4e-i_-SeKKYY-aQLAQBQ,MS 1 H1/4d,
http://rdfh.ch/0112/vNz3sXVdQLq0FMBxIMVvKA,D-5-2-27/04,
http://rdfh.ch/0112/bJ_CCQCwQDSHCtM6Dw-Tmg,MS 1 H1/4e,
http://rdfh.ch/0112/NRM-r-6OTbyn0E_HQfhOdQ,MS 1 H1/4f,
http://rdfh.ch/0112/VoqdEsw_RAOSrYB3b89MTA,D-5-2-27/04,
http://rdfh.ch/0112/yrAvUwwCSeGrkzQ2GdiCgQ,D-5-2-27/04,
http://rdfh.ch/0112/DU2E9MNUQLuxGRAlwDpdHw,D-5-2-99/01,
